Campaign Name,Campaign ID,Ad Group Name,By Day,Age,Gender,Cost,CPM,CPC,CTR,Impressions,Clicks,Conversions,Cost per Conversion,Currency
TT_LETO26_BrandAware,1789010001,Spark_Awareness,07/16/2026,35-44,Female,18.49,7.69,0.43,1.77,2403,43,0,,EUR
TT_PRODUKTLAUNCH26,1789010002,Spark_Ads,10/19/2026,25-34,Male,39.2,5.16,0.35,1.47,7601,112,1,39.2,EUR
TT_PRODUKTLAUNCH26,1789010002,InFeed_Launch,10/06/2026,18-24,Female,23.76,8.27,0.44,1.87,2873,54,1,23.76,EUR
TT_LETO26_BrandAware,1789010001,InFeed_Prospecting,08/10/2026,45-54,Female,17.22,7.91,0.42,1.9,2177,41,0,,EUR
TT_LETO26_BrandAware,1789010001,InFeed_Prospecting,06/03/2026,25-34,Female,22.23,3.93,0.39,1.01,5660,57,0,,EUR
TT_LETO26_BrandAware,1789010001,InFeed_Prospecting,06/29/2026,25-34,Female,29.92,6.74,0.34,1.99,4441,88,0,,EUR
TT_PRODUKTLAUNCH26,1789010002,TopView,10/01/2026,35-44,Female,35.84,6.46,0.56,1.15,5548,64,0,,EUR
TT_PRODUKTLAUNCH26,1789010002,Spark_Ads,08/24/2026,65+,Male,15.81,6.0,0.31,1.93,2634,51,1,15.81,EUR
TT_LETO26_BrandAware,1789010001,InFeed_Prospecting,06/06/2026,18-24,Female,18.06,5.64,0.43,1.31,3202,42,0,,EUR
TT_LETO26_BrandAware,1789010001,InFeed_Prospecting,06/02/2026,55-64,Female,6.56,4.6,0.41,1.13,1427,16,0,,EUR
TT_PRODUKTLAUNCH26,1789010002,TopView,10/04/2026,35-44,Female,39.06,5.72,0.63,0.91,6828,62,0,,EUR
TT_LETO26_BrandAware,1789010001,Spark_Awareness,06/04/2026,35-44,Female,11.78,5.77,0.31,1.86,2041,38,0,,EUR
TT_PRODUKTLAUNCH26,1789010002,TopView,09/19/2026,25-34,Female,29.28,4.41,0.48,0.92,6644,61,0,,EUR
TT_PRODUKTLAUNCH26,1789010002,TopView,08/31/2026,45-54,Female,30.16,7.15,0.58,1.23,4220,52,0,,EUR
TT_LETO26_BrandAware,1789010001,Spark_Awareness,07/26/2026,55-64,Female,10.54,5.99,0.34,1.79,1760,31,0,,EUR
TT_LETO26_BrandAware,1789010001,InFeed_Prospecting,07/04/2026,45-54,Female,25.08,6.37,0.38,1.66,3938,66,0,,EUR
TT_LETO26_BrandAware,1789010001,InFeed_Retarget,06/03/2026,45-54,Female,16.8,14.12,0.48,2.92,1190,35,0,,EUR
TT_LETO26_BrandAware,1789010001,InFeed_Retarget,06/28/2026,65+,Male,4.62,7.99,0.42,1.98,578,11,0,,EUR
TT_LETO26_BrandAware,1789010001,InFeed_Prospecting,06/05/2026,18-24,Male,18.7,4.22,0.34,1.24,4432,55,0,,EUR
TT_PRODUKTLAUNCH26,1789010002,Spark_Ads,10/24/2026,55-64,Male,20.44,4.99,0.28,1.78,4098,73,1,20.44,EUR
TT_PRODUKTLAUNCH26,1789010002,TopView,10/22/2026,45-54,Male,34.68,5.68,0.68,0.84,6102,51,0,,EUR
TT_LETO26_BrandAware,1789010001,Spark_Awareness,06/04/2026,18-24,Male,14.85,6.22,0.33,1.9,2387,45,0,,EUR
TT_LETO26_BrandAware,1789010001,InFeed_Retarget,06/17/2026,25-34,Male,10.88,5.0,0.32,1.56,2177,34,0,,EUR
TT_LETO26_BrandAware,1789010001,InFeed_Prospecting,06/04/2026,45-54,Female,18.15,6.49,0.33,1.98,2797,55,0,,EUR
TT_LETO26_BrandAware,1789010001,Spark_Awareness,06/28/2026,25-34,Female,36.54,8.32,0.42,1.99,4390,87,0,,EUR
TT_LETO26_BrandAware,1789010001,InFeed_Prospecting,08/04/2026,65+,Male,5.2,4.27,0.4,1.08,1219,13,0,,EUR
TT_PRODUKTLAUNCH26,1789010002,TopView,10/08/2026,45-54,Female,40.32,5.97,0.64,0.93,6757,63,0,,EUR
TT_LETO26_BrandAware,1789010001,InFeed_Retarget,06/25/2026,18-24,Male,11.34,12.01,0.42,2.88,944,27,0,,EUR
TT_PRODUKTLAUNCH26,1789010002,TopView,09/24/2026,45-54,Male,37.12,7.09,0.58,1.22,5236,64,0,,EUR
TT_LETO26_BrandAware,1789010001,InFeed_Prospecting,06/01/2026,35-44,Male,22.32,6.21,0.36,1.74,3597,62,0,,EUR
TT_LETO26_BrandAware,1789010001,InFeed_Prospecting,07/12/2026,45-54,Female,9.24,4.12,0.42,0.99,2244,22,0,,EUR
TT_PRODUKTLAUNCH26,1789010002,InFeed_Launch,10/06/2026,25-34,Female,25.96,7.85,0.44,1.79,3306,59,1,25.96,EUR
TT_LETO26_BrandAware,1789010001,InFeed_Prospecting,06/15/2026,18-24,Male,22.94,5.42,0.31,1.74,4231,74,0,,EUR
TT_PRODUKTLAUNCH26,1789010002,TopView,10/21/2026,55-64,Male,48.19,8.43,0.61,1.38,5717,79,0,,EUR
TT_LETO26_BrandAware,1789010001,InFeed_Retarget,08/01/2026,65+,Female,7.65,10.94,0.45,2.39,699,17,0,,EUR
TT_LETO26_BrandAware,1789010001,InFeed_Retarget,07/16/2026,35-44,Female,18.4,12.19,0.46,2.63,1509,40,0,,EUR
TT_LETO26_BrandAware,1789010001,Spark_Awareness,07/07/2026,18-24,Female,16.2,5.87,0.36,1.63,2762,45,0,,EUR
TT_LETO26_BrandAware,1789010001,Spark_Awareness,07/13/2026,55-64,Female,10.73,6.55,0.37,1.74,1638,29,0,,EUR
TT_LETO26_BrandAware,1789010001,InFeed_Prospecting,06/02/2026,18-24,Female,30.8,7.68,0.44,1.75,4009,70,0,,EUR
TT_PRODUKTLAUNCH26,1789010002,Spark_Ads,08/27/2026,65+,Male,11.48,6.15,0.41,1.52,1868,28,0,,EUR
TT_LETO26_BrandAware,1789010001,InFeed_Retarget,08/02/2026,25-34,Male,25.62,11.16,0.42,2.68,2295,61,0,,EUR
TT_PRODUKTLAUNCH26,1789010002,Spark_Ads,10/09/2026,18-24,Male,24.32,8.11,0.38,2.14,2999,64,1,24.32,EUR
TT_LETO26_BrandAware,1789010001,InFeed_Prospecting,06/25/2026,18-24,Female,12.76,4.98,0.44,1.13,2561,29,0,,EUR
TT_LETO26_BrandAware,1789010001,InFeed_Prospecting,07/08/2026,25-34,Female,18.36,6.38,0.36,1.76,2877,51,0,,EUR
TT_PRODUKTLAUNCH26,1789010002,Spark_Ads,10/19/2026,65+,Male,19.32,7.54,0.42,1.78,2563,46,1,19.32,EUR
TT_LETO26_BrandAware,1789010001,InFeed_Retarget,06/20/2026,25-34,Female,8.82,8.0,0.42,1.9,1102,21,0,,EUR
TT_LETO26_BrandAware,1789010001,InFeed_Retarget,06/15/2026,35-44,Male,19.5,11.67,0.5,2.35,1671,39,0,,EUR
TT_PRODUKTLAUNCH26,1789010002,TopView,08/21/2026,45-54,Male,42.09,5.88,0.69,0.86,7155,61,0,,EUR
TT_PRODUKTLAUNCH26,1789010002,TopView,09/11/2026,25-34,Female,27.14,3.56,0.59,0.6,7621,46,0,,EUR
TT_LETO26_BrandAware,1789010001,InFeed_Prospecting,08/12/2026,65+,Female,5.58,4.84,0.31,1.59,1154,18,0,,EUR
TT_LETO26_BrandAware,1789010001,InFeed_Prospecting,07/03/2026,35-44,Female,18.15,6.0,0.33,1.8,3025,55,0,,EUR
TT_LETO26_BrandAware,1789010001,InFeed_Retarget,06/16/2026,25-34,Female,12.92,11.09,0.38,2.9,1165,34,0,,EUR
TT_PRODUKTLAUNCH26,1789010002,InFeed_Launch,08/18/2026,55-64,Female,18.87,11.23,0.51,2.19,1681,37,0,,EUR
TT_PRODUKTLAUNCH26,1789010002,TopView,10/08/2026,18-24,Male,17.28,2.89,0.48,0.6,5980,36,0,,EUR
TT_LETO26_BrandAware,1789010001,InFeed_Retarget,08/14/2026,65+,Male,11.25,12.49,0.45,2.74,901,25,0,,EUR
TT_LETO26_BrandAware,1789010001,InFeed_Retarget,07/29/2026,25-34,Male,32.16,13.43,0.48,2.81,2394,67,1,32.16,EUR
TT_PRODUKTLAUNCH26,1789010002,InFeed_Launch,09/25/2026,35-44,Male,18.36,6.23,0.34,1.85,2947,54,1,18.36,EUR
TT_PRODUKTLAUNCH26,1789010002,InFeed_Launch,09/04/2026,45-54,Female,19.89,7.46,0.51,1.46,2665,39,0,,EUR
TT_PRODUKTLAUNCH26,1789010002,InFeed_Launch,09/08/2026,45-54,Male,12.48,4.25,0.32,1.32,2935,39,0,,EUR
TT_PRODUKTLAUNCH26,1789010002,Spark_Ads,10/25/2026,18-24,Female,19.35,7.68,0.43,1.77,2518,45,1,19.35,EUR
TT_LETO26_BrandAware,1789010001,InFeed_Prospecting,07/16/2026,65+,Female,16.8,8.1,0.42,1.92,2075,40,0,,EUR
TT_PRODUKTLAUNCH26,1789010002,Spark_Ads,09/09/2026,45-54,Male,17.94,5.55,0.39,1.42,3235,46,1,17.94,EUR
TT_PRODUKTLAUNCH26,1789010002,Spark_Ads,10/03/2026,25-34,Male,32.19,4.19,0.37,1.13,7676,87,1,32.19,EUR
TT_PRODUKTLAUNCH26,1789010002,Spark_Ads,10/04/2026,25-34,Female,41.36 EUR,7.45,0.44,1.7,5552,94,1,41.36,EUR
TT_LETO26_BrandAware,1789010001,InFeed_Prospecting,06/30/2026,45-54,Female,11.7,2.7,0.3,0.9,4335,39,0,,EUR
TT_LETO26_BrandAware,1789010001,InFeed_Prospecting,06/06/2026,35-44,Male,18.13,6.12,0.37,1.66,2960,49,0,,EUR
TT_LETO26_BrandAware,1789010001,InFeed_Prospecting,06/09/2026,35-44,Female,11.47,4.4,0.31,1.41,2609,37,0,,EUR
TT_LETO26_BrandAware,1789010001,InFeed_Retarget,06/25/2026,65+,Male,6.86,9.84,0.49,2.06,697,14,0,,EUR
TT_PRODUKTLAUNCH26,1789010002,Spark_Ads,10/03/2026,45-54,Male,15.12,5.54,0.28,1.96,2730,54,1,15.12,EUR
TT_PRODUKTLAUNCH26,1789010002,InFeed_Launch,09/29/2026,25-34,Female,29.28,11.37,0.48,2.37,2576,61,1,29.28,EUR
TT_LETO26_BrandAware,1789010001,Spark_Awareness,08/10/2026,65+,Male,2.61,2.94,0.29,1.06,889,9,0,,EUR
TT_PRODUKTLAUNCH26,1789010002,Spark_Ads,10/06/2026,65+,Male,13.44,5.34,0.28,1.89,2516,48,1,13.44,EUR
TT_PRODUKTLAUNCH26,1789010002,InFeed_Launch,09/15/2026,25-34,Female,19.2,5.0,0.3,1.66,3842,64,1,19.2,EUR
TT_LETO26_BrandAware,1789010001,InFeed_Retarget,07/25/2026,25-34,Female,9.86,6.7,0.34,1.98,1472,29,0,,EUR
TT_PRODUKTLAUNCH26,1789010002,TopView,10/18/2026,25-34,Female,37.8,4.75,0.42,1.13,7955,90,1,37.8,EUR
TT_PRODUKTLAUNCH26,1789010002,Spark_Ads,08/29/2026,35-44,Female,36.75,5.73,0.35,1.64,6417,105,1,36.75,EUR
TT_PRODUKTLAUNCH26,1789010002,Spark_Ads,09/30/2026,35-44,Male,33.75,7.28,0.45,1.62,4636,75,1,33.75,EUR
TT_PRODUKTLAUNCH26,1789010002,InFeed_Launch,08/17/2026,18-24,Female,15.12,5.08,0.36,1.43,2975,42,0,,EUR
TT_PRODUKTLAUNCH26,1789010002,Spark_Ads,10/24/2026,65+,Female,21.84,8.15,0.42,1.96,2679,52,1,21.84,EUR
TT_PRODUKTLAUNCH26,1789010002,TopView,08/16/2026,18-24,Female,12.4,4.08,0.62,0.66,3040,20,0,,EUR
TT_LETO26_BrandAware,1789010001,InFeed_Retarget,07/14/2026,25-34,Male,8.37,4.74,0.31,1.51,1766,27,0,,EUR
TT_PRODUKTLAUNCH26,1789010002,Spark_Ads,08/23/2026,25-34,Male,57.96,10.48,0.46,2.28,5528,126,2,28.98,EUR
TT_PRODUKTLAUNCH26,1789010002,Spark_Ads,09/22/2026,18-24,Male,40.95,8.08,0.35,2.31,5065,117,1,40.95,EUR
TT_LETO26_BrandAware,1789010001,InFeed_Prospecting,06/04/2026,18-24,Female,20.4,6.71,0.4,1.68,3041,51,0,,EUR
TT_LETO26_BrandAware,1789010001,Spark_Awareness,06/06/2026,35-44,Male,20.24,5.1,0.44,1.15,3967,46,0,,EUR
TT_LETO26_BrandAware,1789010001,InFeed_Prospecting,06/03/2026,55-64,Male,10.92 EUR,4.88,0.42,1.16,2238,26,0,,EUR
TT_LETO26_BrandAware,1789010001,InFeed_Prospecting,06/15/2026,55-64,Male,11.89,5.23,0.41,1.25,2275,29,0,,EUR
TT_LETO26_BrandAware,1789010001,InFeed_Prospecting,06/23/2026,18-24,Male,34.44,7.39,0.42,1.77,4661,82,0,,EUR
TT_PRODUKTLAUNCH26,1789010002,Spark_Ads,09/18/2026,35-44,Female,31.59,5.19,0.39,1.34,6087,81,1,31.59,EUR
TT_LETO26_BrandAware,1789010001,InFeed_Prospecting,08/03/2026,18-24,Male,11.02,4.54,0.29,1.55,2427,38,0,,EUR
TT_PRODUKTLAUNCH26,1789010002,Spark_Ads,10/28/2026,25-34,Male,36.83,4.56,0.29,1.57,8071,127,2,18.41,EUR
TT_LETO26_BrandAware,1789010001,InFeed_Retarget,06/10/2026,18-24,Female,6.12,5.47,0.36,1.53,1119,17,0,,EUR
TT_LETO26_BrandAware,1789010001,InFeed_Retarget,07/05/2026,55-64,Female,9.6,7.7,0.4,1.91,1246,24,0,,EUR
TT_PRODUKTLAUNCH26,1789010002,Spark_Ads,10/17/2026,55-64,Female,27.6,8.99,0.46,1.94,3070,60,1,27.6,EUR
TT_PRODUKTLAUNCH26,1789010002,InFeed_Launch,10/02/2026,55-64,Male,20.58,7.69,0.42,1.84,2675,49,0,,EUR
TT_PRODUKTLAUNCH26,1789010002,InFeed_Launch,10/03/2026,65+,Female,13.05,8.49,0.45,1.91,1538,29,0,,EUR
TT_PRODUKTLAUNCH26,1789010002,Spark_Ads,09/13/2026,35-44,Female,24.2,5.17,0.44,1.18,4684,55,1,24.2,EUR
TT_PRODUKTLAUNCH26,1789010002,InFeed_Launch,10/06/2026,55-64,Male,18.06,10.77,0.43,2.48,1677,42,0,,EUR
TT_PRODUKTLAUNCH26,1789010002,TopView,08/15/2026,18-24,Female,24.08,5.8,0.43,1.34,4155,56,0,,EUR
TT_LETO26_BrandAware,1789010001,InFeed_Prospecting,06/11/2026,55-64,Female,13.2,5.71,0.3,1.92,2310,44,0,,EUR
TT_LETO26_BrandAware,1789010001,Spark_Awareness,07/27/2026,55-64,Female,7.56,6.44,0.42,1.55,1174,18,0,,EUR
TT_PRODUKTLAUNCH26,1789010002,Spark_Ads,09/02/2026,55-64,Male,30.36,10.02,0.44,2.29,3029,69,1,30.36,EUR
TT_PRODUKTLAUNCH26,1789010002,Spark_Ads,08/25/2026,35-44,Male,39.6,7.44,0.44,1.69,5323,90,1,39.6,EUR
TT_PRODUKTLAUNCH26,1789010002,TopView,10/12/2026,55-64,Male,33.39,7.95,0.63,1.27,4202,53,0,,EUR
TT_PRODUKTLAUNCH26,1789010002,TopView,09/19/2026,25-34,Male,53.82,6.27,0.46,1.36,8579,117,1,53.82,EUR
TT_LETO26_BrandAware,1789010001,InFeed_Prospecting,08/05/2026,18-24,Male,29.93,7.91,0.41,1.93,3784,73,0,,EUR
TT_LETO26_BrandAware,1789010001,InFeed_Prospecting,07/01/2026,25-34,Male,27.2,4.27,0.4,1.06,6369,68,0,,EUR
TT_PRODUKTLAUNCH26,1789010002,TopView,10/04/2026,45-54,Female,33.8,6.77,0.52,1.31,4991,65,0,,EUR
TT_PRODUKTLAUNCH26,1789010002,InFeed_Launch,10/12/2026,45-54,Female,22.94,7.5,0.37,2.04,3060,62,1,22.94,EUR
TT_LETO26_BrandAware,1789010001,InFeed_Prospecting,06/01/2026,18-24,Male,24.36,6.09,0.42,1.45,4001,58,0,,EUR
TT_PRODUKTLAUNCH26,1789010002,InFeed_Launch,08/27/2026,18-24,Male,9.3,4.5,0.3,1.5,2068,31,0,,EUR
TT_LETO26_BrandAware,1789010001,InFeed_Retarget,07/28/2026,35-44,Female,24.51,12.51,0.43,2.92,1959,57,0,,EUR
TT_LETO26_BrandAware,1789010001,InFeed_Retarget,06/16/2026,65+,Female,7.26,9.21,0.33,2.76,788,22,0,,EUR
TT_LETO26_BrandAware,1789010001,Spark_Awareness,07/04/2026,65+,Male,7.05,5.49,0.47,1.2,1283,15,0,,EUR
TT_LETO26_BrandAware,1789010001,InFeed_Prospecting,08/06/2026,18-24,Female,16.34,5.86,0.38,1.56,2787,43,0,,EUR
TT_LETO26_BrandAware,1789010001,InFeed_Prospecting,08/03/2026,18-24,Female,20.64,4.9,0.43,1.15,4215,48,0,,EUR
TT_LETO26_BrandAware,1789010001,InFeed_Prospecting,07/24/2026,45-54,Female,8.7,4.39,0.3,1.48,1980,29,0,,EUR
TT_PRODUKTLAUNCH26,1789010002,TopView,08/31/2026,55-64,Female,21.15,5.0,0.45,1.1,4227,47,0,,EUR
TT_LETO26_BrandAware,1789010001,InFeed_Retarget,07/24/2026,65+,Male,4.48,6.26,0.32,1.92,716,14,0,,EUR
TT_PRODUKTLAUNCH26,1789010002,Spark_Ads,09/17/2026,25-34,Female,41.65,6.49,0.49,1.33,6415,85,1,41.65,EUR
TT_PRODUKTLAUNCH26,1789010002,TopView,10/24/2026,65+,Male,16.65,4.28,0.45,0.96,3891,37,0,,EUR
TT_LETO26_BrandAware,1789010001,InFeed_Prospecting,07/13/2026,55-64,Female,15.54,6.11,0.37,1.67,2545,42,0,,EUR
TT_LETO26_BrandAware,1789010001,InFeed_Prospecting,06/04/2026,25-34,Female,26.98,7.4,0.38,1.94,3644,71,0,,EUR
TT_LETO26_BrandAware,1789010001,InFeed_Retarget,08/13/2026,55-64,Male,16.38,11.44,0.42,2.73,1432,39,0,,EUR
TT_LETO26_BrandAware,1789010001,Spark_Awareness,06/13/2026,25-34,Female,21.0,5.02,0.42,1.2,4184,50,0,,EUR
TT_LETO26_BrandAware,1789010001,Spark_Awareness,07/31/2026,25-34,Female,32.64,7.45,0.48,1.56,4381,68,0,,EUR
TT_PRODUKTLAUNCH26,1789010002,Spark_Ads,09/05/2026,45-54,Female,25.5,5.52,0.3,1.84,4616,85,1,25.5,EUR
TT_LETO26_BrandAware,1789010001,InFeed_Prospecting,07/16/2026,55-64,Female,13.64,8.69,0.44,1.95,1570,31,0,,EUR
TT_LETO26_BrandAware,1789010001,InFeed_Prospecting,07/05/2026,65+,Female,2.97,3.12,0.27,1.18,953,11,0,,EUR
TT_LETO26_BrandAware,1789010001,InFeed_Prospecting,06/19/2026,65+,Male,13.3,5.55,0.35,1.58,2397,38,0,,EUR
TT_LETO26_BrandAware,1789010001,InFeed_Retarget,07/01/2026,18-24,Male,8.0,9.31,0.32,2.88,859,25,0,,EUR
TT_PRODUKTLAUNCH26,1789010002,TopView,09/10/2026,65+,Female,11.88,6.04,0.54,1.1,1967,22,0,,EUR
TT_LETO26_BrandAware,1789010001,InFeed_Retarget,07/25/2026,35-44,Male,13.32,10.33,0.37,2.77,1289,36,0,,EUR
TT_PRODUKTLAUNCH26,1789010002,Spark_Ads,09/02/2026,45-54,Male,11.84,4.2,0.32,1.31,2821,37,0,,EUR
TT_LETO26_BrandAware,1789010001,InFeed_Retarget,07/12/2026,55-64,Female,7.6,6.73,0.38,1.78,1130,20,0,,EUR
TT_PRODUKTLAUNCH26,1789010002,Spark_Ads,09/14/2026,65+,Male,10.64,7.45,0.38,1.94,1428,28,0,,EUR
TT_LETO26_BrandAware,1789010001,InFeed_Prospecting,06/06/2026,25-34,Male,19.2,3.47,0.3,1.16,5532,64,0,,EUR
TT_LETO26_BrandAware,1789010001,InFeed_Prospecting,07/06/2026,35-44,Female,17.55,7.18,0.45,1.58,2445,39,0,,EUR
TT_PRODUKTLAUNCH26,1789010002,Spark_Ads,08/30/2026,65+,Male,24.44,8.45,0.47,1.81,2892,52,1,24.44,EUR
TT_PRODUKTLAUNCH26,1789010002,InFeed_Launch,09/28/2026,45-54,Male,19.27,9.9,0.41,2.41,1946,47,0,,EUR
TT_LETO26_BrandAware,1789010001,InFeed_Prospecting,08/05/2026,35-44,Female,13.23,3.37,0.27,1.26,3928,49,0,,EUR
TT_LETO26_BrandAware,1789010001,InFeed_Retarget,08/06/2026,45-54,Female,12.22 EUR,10.88,0.47,2.29,1123,26,0,,EUR
TT_LETO26_BrandAware,1789010001,InFeed_Prospecting,07/26/2026,45-54,Female,13.12,4.08,0.32,1.29,3213,41,0,,EUR
TT_LETO26_BrandAware,1789010001,InFeed_Retarget,06/23/2026,35-44,Male,22.54,9.93,0.49,2.03,2271,46,0,,EUR
TT_PRODUKTLAUNCH26,1789010002,TopView,10/22/2026,25-34,Female,19.8,3.94,0.55,0.71,5022,36,0,,EUR
TT_LETO26_BrandAware,1789010001,Spark_Awareness,07/31/2026,35-44,Male,15.91,5.05,0.43,1.16,3153,37,0,,EUR
TT_LETO26_BrandAware,1789010001,InFeed_Retarget,07/18/2026,18-24,Female,9.92,9.15,0.31,2.99,1084,32,0,,EUR
TT_LETO26_BrandAware,1789010001,InFeed_Prospecting,08/01/2026,65+,Female,4.9,4.41,0.35,1.28,1110,14,0,,EUR
TT_LETO26_BrandAware,1789010001,Spark_Awareness,06/24/2026,18-24,Male,19.98,6.69,0.37,1.81,2987,54,0,,EUR
TT_LETO26_BrandAware,1789010001,Spark_Awareness,08/02/2026,45-54,Female,9.28,5.61,0.29,1.91,1654,32,0,,EUR
