Campaign name,Ad set name,Ad name,Day,Age,Gender,Impressions,Reach,Frequency,Clicks (All),Link clicks,CTR (link click-through rate),CPC (cost per link click) (EUR),Amount spent (EUR),Results,Cost per results,Result type
SK_ProduktLaunch26_META,SK_ProduktLaunch26_META_Feed,Feed_v1,2026-09-25,55-64,Female,1346,1003.0,1.34,34,18,1.37,0.41,7.38,0.0,,Website purchases
SK_BrandAwareness_Leto26_META,SK_BrandAwareness_Leto26_META_Reels,Reels_v1,2026-06-25,25-34,Female,2360,1453.0,1.62,74,40,1.7,0.53,21.2,,,
SK_BrandAwareness_Leto26_META,SK_BrandAwareness_Leto26_META_Carousel,Carousel_v1,2026-07-05,45-54,Female,1880,1067.0,1.76,49,30,1.58,0.42,12.6,,,
SK_BrandAwareness_Leto26_META,SK_BrandAwareness_Leto26_META_Reels,Reels_v1,2026-06-12,18-24,Male,2164,1052.0,2.06,50,29,1.32,0.35,10.15,,,
SK_ProduktLaunch26_META,SK_ProduktLaunch26_META_Stories,Stories_v1,2026-10-11,45-54,Male,2162,1554.0,1.39,60,40,1.86,0.37,14.8,1.0,14.8,Website purchases
SK_ProduktLaunch26_META,SK_ProduktLaunch26_META_Stories,Stories_v1,2026-10-01,55-64,Female,869,465.0,1.87,33,18,2.12,0.33,5.94,1.0,5.94,Website purchases
SK_ProduktLaunch26_META,SK_ProduktLaunch26_META_Feed,Feed_v1,2026-08-26,55-64,Male,1480,827.0,1.79,22,15,1.02,0.44,6.6,0.0,,Website purchases
SK_ProduktLaunch26_META,SK_ProduktLaunch26_META_Stories,Stories_v1,2026-09-02,25-34,Female,1857,892.0,2.08,47,22,1.16,0.37,8.14,1.0,8.14,Website purchases
SK_BrandAwareness_Leto26_META,SK_BrandAwareness_Leto26_META_Video,Video_v1,2026-06-06,18-24,Male,2853,1306.0,2.18,78,46,1.62,0.49,22.54,,,
SK_BrandAwareness_Leto26_META,SK_BrandAwareness_Leto26_META_Reels,Reels_v1,2026-06-03,45-54,Female,3498,1807.0,1.94,123,65,1.85,0.36,23.4,,,
SK_ProduktLaunch26_META,SK_ProduktLaunch26_META_Stories,Stories_v1,2026-10-24,45-54,Male,1153,729.0,1.58,30,16,1.36,0.54,8.64,0.0,,Website purchases
SK_ProduktLaunch26_META,SK_ProduktLaunch26_META_Reels,Reels_v1,2026-08-15,35-44,Male,2980,1370.0,2.18,85,45,1.49,0.38,17.1,1.0,17.1,Website purchases
SK_BrandAwareness_Leto26_META,SK_BrandAwareness_Leto26_META_Reels,Reels_v1,2026-06-19,18-24,Female,2435,1739.0,1.4,36,25,1.03,0.46,11.5,,,
SK_ProduktLaunch26_META,SK_ProduktLaunch26_META_Stories,Stories_v1,2026-10-22,45-54,Male,1796,1117.0,1.61,83,39,2.17,0.47,18.33,1.0,18.33,Website purchases
SK_ProduktLaunch26_META,SK_ProduktLaunch26_META_Feed,Feed_v1,2026-08-31,35-44,Female,2191,1081.0,2.03,71,31,1.42,0.48,14.88,1.0,14.88,Website purchases
SK_BrandAwareness_Leto26_META,SK_BrandAwareness_Leto26_META_Reels,Reels_v1,2026-07-23,45-54,Female,1728,817.0,2.12,62,32,1.88,0.39,12.48,,,
SK_BrandAwareness_Leto26_META,SK_BrandAwareness_Leto26_META_Reels,Reels_v1,2026-07-10,18-24,Female,1592,1206.0,1.32,58,26,1.61,0.52,13.52,,,
SK_ProduktLaunch26_META,SK_ProduktLaunch26_META_Feed,Feed_v1,2026-08-22,35-44,Male,2056,1117.0,1.84,85,40,1.92,0.5,20.0,1.0,20.0,Website purchases
SK_BrandAwareness_Leto26_META,SK_BrandAwareness_Leto26_META_Reels,Reels_v1,2026-06-16,18-24,Male,2941,1716.0,1.71,94,41,1.4,0.41,16.81,,,
SK_ProduktLaunch26_META,SK_ProduktLaunch26_META_Stories,Stories_v1,2026-09-28,18-24,Female,1129,652.0,1.73,26,15,1.32,0.32,4.8,0.0,,Website purchases
SK_BrandAwareness_Leto26_META,SK_BrandAwareness_Leto26_META_Video,Video_v1,2026-06-10,25-34,Female,2184,1579.0,1.38,50,30,1.39,0.43,12.9,,,
SK_ProduktLaunch26_META,SK_ProduktLaunch26_META_Stories,Stories_v1,2026-08-15,35-44,Male,1531,1036.0,1.48,62,34,2.2,0.37,12.58,1.0,12.58,Website purchases
SK_ProduktLaunch26_META,SK_ProduktLaunch26_META_Feed,Feed_v1,2026-10-15,25-34,Female,2252,1172.0,1.92,66,44,1.97,0.39,17.16,1.0,17.16,Website purchases
SK_ProduktLaunch26_META,SK_ProduktLaunch26_META_Reels,Reels_v1,2026-08-27,55-64,Female,1459,917.0,1.59,62,28,1.92,0.4,11.2,1.0,11.2,Website purchases
SK_ProduktLaunch26_META,SK_ProduktLaunch26_META_Stories,Stories_v1,2026-09-25,65+,Female,699,529.0,1.32,26,13,1.88,0.36,4.68,0.0,,Website purchases
SK_ProduktLaunch26_META,SK_ProduktLaunch26_META_Reels,Reels_v1,2026-08-31,35-44,Female,3331,1916.0,1.74,113,64,1.93,0.46,29.44,2.0,14.72,Website purchases
SK_ProduktLaunch26_META,SK_ProduktLaunch26_META_Reels,Reels_v1,2026-08-27,35-44,Female,2955,1608.0,1.84,103,50,1.7,0.3,15.0,2.0,7.5,Website purchases
SK_BrandAwareness_Leto26_META,SK_BrandAwareness_Leto26_META_Video_V2,Video_v1,2026-07-24,18-24,Female,1847,1162.0,1.59,35,18,0.99,0.53,9.54,,,
SK_ProduktLaunch26_META,SK_ProduktLaunch26_META_Stories,Stories_v1,2026-09-16,18-24,Female,1953,1323.0,1.48,46,24,1.24,0.42,10.08,1.0,10.08,Website purchases
SK_BrandAwareness_Leto26_META,SK_BrandAwareness_Leto26_META_Carousel,Carousel_v1,2026-06-06,25-34,Male,2945,1539.0,1.91,77,34,1.15,0.7,23.8,,,
SK_ProduktLaunch26_META,SK_ProduktLaunch26_META_Reels,Reels_v1,2026-09-21,25-34,Female,2198,1324.0,1.66,112,49,2.23,0.32,15.68,1.0,15.68,Website purchases
SK_BrandAwareness_Leto26_META,SK_BrandAwareness_Leto26_META_Carousel,Carousel_v1,2026-07-20,45-54,Male,1973,1063.0,1.86,61,34,1.73,0.68,23.12,,,
SK_ProduktLaunch26_META,SK_ProduktLaunch26_META_Stories,Stories_v1,2026-09-29,45-54,Female,1616,1212.0,1.33,49,28,1.72,0.57,15.96,1.0,15.96,Website purchases
SK_BrandAwareness_Leto26_META,SK_BrandAwareness_Leto26_META_Video_V2,Video_v1,2026-07-13,35-44,Male,2470,1655.0,1.49,49,26,1.04,0.38,9.88,,,
SK_BrandAwareness_Leto26_META,SK_BrandAwareness_Leto26_META_Reels,Reels_v1,2026-08-10,55-64,Male,1726,867.0,1.99,43,31,1.81,0.42,13.02,,,
SK_BrandAwareness_Leto26_META,SK_BrandAwareness_Leto26_META_Carousel,Carousel_v1,2026-08-07,65+,Female,865,614.0,1.41,20,9,1.07,0.67,6.03,,,
SK_BrandAwareness_Leto26_META,SK_BrandAwareness_Leto26_META_Reels,Reels_v1,2026-07-10,25-34,Female,4182,2120.0,1.97,82,54,1.29,0.52,28.08,,,
SK_ProduktLaunch26_META,SK_ProduktLaunch26_META_Feed,Feed_v1,2026-10-17,45-54,Female,2527,1197.0,2.11,51,29,1.16,0.5,14.5,1.0,14.5,Website purchases
SK_ProduktLaunch26_META,SK_ProduktLaunch26_META_Stories,Stories_v1,2026-09-22,65+,Male,1110,710.0,1.56,27,19,1.74,0.43,8.17,1.0,8.17,Website purchases
SK_ProduktLaunch26_META,SK_ProduktLaunch26_META_Feed,Feed_v1,2026-09-07,18-24,Male,2476,1680.0,1.47,39,27,1.1,0.49,13.23,1.0,13.23,Website purchases
SK_ProduktLaunch26_META,SK_ProduktLaunch26_META_Feed,Feed_v1,2026-10-27,18-24,Male,1585,925.0,1.71,32,17,1.07,0.53,9.01,0.0,,Website purchases
SK_ProduktLaunch26_META,SK_ProduktLaunch26_META_Feed,Feed_v1,2026-10-03,18-24,Male,2686,1263.0,2.13,45,27,1.01,0.45,12.15,1.0,12.15,Website purchases
SK_ProduktLaunch26_META,SK_ProduktLaunch26_META_Reels,Reels_v1,2026-09-28,45-54,Male,3221,2158.0,1.49,107,47,1.44,0.34,15.98,1.0,15.98,Website purchases
SK_BrandAwareness_Leto26_META,SK_BrandAwareness_Leto26_META_Video,Video_v1,2026-06-08,25-34,Female,2768,1302.0,2.13,36,23,0.81,0.61,14.03,,,
SK_BrandAwareness_Leto26_META,SK_BrandAwareness_Leto26_META_Reels,Reels_v1,2026-06-15,25-34,Female,2292,1417.0,1.62,59,28,1.21,0.55,15.4,,,
SK_BrandAwareness_Leto26_META,SK_BrandAwareness_Leto26_META_Video,Video_v1,2026-06-05,45-54,Female,2333,1063.0,2.19,62,40,1.72,0.4,16.0,,,
SK_BrandAwareness_Leto26_META,SK_BrandAwareness_Leto26_META_Video,Video_v1,2026-06-17,25-34,Female,2835,1913.0,1.48,38,26,0.91,0.54,14.04,,,
SK_ProduktLaunch26_META,SK_ProduktLaunch26_META_Feed,Feed_v1,2026-10-21,35-44,Female,2152,1321.0,1.63,43,24,1.13,0.4,9.6,1.0,9.6,Website purchases
SK_ProduktLaunch26_META,SK_ProduktLaunch26_META_Feed,Feed_v1,2026-09-14,18-24,Male,2051,1336.0,1.54,81,36,1.74,0.44,15.84,1.0,15.84,Website purchases
SK_BrandAwareness_Leto26_META,SK_BrandAwareness_Leto26_META_Reels,Reels_v1,2026-08-11,25-34,Female,4003,2423.0,1.65,77,41,1.02,0.4,16.4,,,
SK_BrandAwareness_Leto26_META,SK_BrandAwareness_Leto26_META_Carousel,Carousel_v1,2026-06-02,55-64,Male,1775,1140.0,1.56,71,35,1.99,0.64,22.4,,,
SK_ProduktLaunch26_META,SK_ProduktLaunch26_META_Reels,Reels_v1,2026-08-24,35-44,Female,4314,2914.0,1.48,142,85,1.98,0.46,39.1,3.0,13.03,Website purchases
SK_BrandAwareness_Leto26_META,SK_BrandAwareness_Leto26_META_Reels,Reels_v1,2026-06-15,35-44,Female,4210,2402.0,1.75,111,67,1.59,0.31,20.77,,,
SK_BrandAwareness_Leto26_META,SK_BrandAwareness_Leto26_META_Carousel,Carousel_v1,2026-06-28,55-64,Male,1341,1021.0,1.31,44,20,1.47,0.59,11.8,,,
SK_ProduktLaunch26_META,SK_ProduktLaunch26_META_Stories,Stories_v1,2026-09-01,55-64,Male,856,486.0,1.76,21,14,1.67,0.55,7.7,0.0,,Website purchases
SK_BrandAwareness_Leto26_META,SK_BrandAwareness_Leto26_META_Video_V2,Video_v1,2026-07-21,35-44,Female,3216,1849.0,1.74,99,57,1.76,0.49,27.93,,,
SK_ProduktLaunch26_META,SK_ProduktLaunch26_META_Feed,Feed_v1,2026-09-16,55-64,Male,2177,1079.0,2.02,90,41,1.88,0.36,14.76,1.0,14.76,Website purchases
SK_ProduktLaunch26_META,SK_ProduktLaunch26_META_Stories,Stories_v1,2026-09-20,45-54,Female,1145,581.0,1.97,37,21,1.79,0.53,11.13,1.0,11.13,Website purchases
SK_BrandAwareness_Leto26_META,SK_BrandAwareness_Leto26_META_Carousel,Carousel_v1,2026-07-25,35-44,Female,1420,713.0,1.99,59,30,2.14,0.66,19.8,,,
SK_ProduktLaunch26_META,SK_ProduktLaunch26_META_Stories,Stories_v1,2026-10-03,35-44,Male,1783,1040.0,1.71,60,39,2.2,0.41,15.99,1.0,15.99,Website purchases
SK_BrandAwareness_Leto26_META,SK_BrandAwareness_Leto26_META_Reels,Reels_v1,2026-06-08,18-24,Male,3654,2723.0,1.34,138,62,1.7,0.32,19.84,,,
SK_ProduktLaunch26_META,SK_ProduktLaunch26_META_Reels,Reels_v1,2026-08-17,45-54,Female,1562,717.0,2.18,34,21,1.32,0.41,8.61,1.0,8.61,Website purchases
SK_BrandAwareness_Leto26_META,SK_BrandAwareness_Leto26_META_Carousel,Carousel_v1,2026-07-23,65+,Female,1000,590.0,1.69,29,19,1.94,0.7,13.3,,,
SK_BrandAwareness_Leto26_META,SK_BrandAwareness_Leto26_META_Reels,Reels_v1,2026-07-12,45-54,Male,2719,1242.0,2.19,62,37,1.36,0.52,19.24,,,
SK_BrandAwareness_Leto26_META,SK_BrandAwareness_Leto26_META_Carousel,Carousel_v1,2026-06-09,25-34,Female,2798,1963.0,1.43,75,44,1.58,0.7,30.8,,,
SK_ProduktLaunch26_META,SK_ProduktLaunch26_META_Feed,Feed_v1,2026-10-12,65+,Male,1131,710.0,1.59,36,17,1.48,0.48,8.16,0.0,,Website purchases
SK_ProduktLaunch26_META,SK_ProduktLaunch26_META_Feed,Feed_v1,2026-09-26,45-54,Male,1954,1137.0,1.72,47,28,1.43,0.47,13.16,1.0,13.16,Website purchases
SK_ProduktLaunch26_META,SK_ProduktLaunch26_META_Feed,Feed_v1,2026-08-31,45-54,Female,1268,684.0,1.85,48,25,1.97,0.51,12.75,1.0,12.75,Website purchases
SK_ProduktLaunch26_META,SK_ProduktLaunch26_META_Reels,Reels_v1,2026-08-19,65+,Female,1247,602.0,2.07,38,18,1.47,0.55,9.9,1.0,9.9,Website purchases
SK_BrandAwareness_Leto26_META,SK_BrandAwareness_Leto26_META_Carousel,Carousel_v1,2026-08-04,25-34,Male,1498,791.0,1.89,39,17,1.12,0.49,8.33,,,
SK_BrandAwareness_Leto26_META,SK_BrandAwareness_Leto26_META_Carousel,Carousel_v1,2026-08-06,55-64,Male,1463,831.0,1.76,49,31,2.1,0.7,21.7,,,
SK_BrandAwareness_Leto26_META,SK_BrandAwareness_Leto26_META_Video_V2,Video_v1,2026-07-27,35-44,Female,2144,1279.0,1.68,76,37,1.72,0.44,16.28,,,
SK_BrandAwareness_Leto26_META,SK_BrandAwareness_Leto26_META_Reels,Reels_v1,2026-07-11,25-34,Female,2473,1273.0,1.94,75,34,1.36,0.47,15.98,,,
SK_BrandAwareness_Leto26_META,SK_BrandAwareness_Leto26_META_Carousel,Carousel_v1,2026-07-01,45-54,Female,1070,557.0,1.92,20,11,1.05,0.58,6.38,,,
SK_BrandAwareness_Leto26_META,SK_BrandAwareness_Leto26_META_Carousel,Carousel_v1,2026-07-22,35-44,Female,1293,673.0,1.92,43,21,1.64,0.45,9.45,,,
SK_BrandAwareness_Leto26_META,SK_BrandAwareness_Leto26_META_Carousel,Carousel_v1,2026-07-13,25-34,Male,1764,1145.0,1.54,55,27,1.5,0.52,14.04,,,
SK_BrandAwareness_Leto26_META,SK_BrandAwareness_Leto26_META_Reels,Reels_v1,2026-07-20,55-64,Male,2840,1569.0,1.81,69,34,1.2,0.5,17.0,,,
SK_BrandAwareness_Leto26_META,SK_BrandAwareness_Leto26_META_Video_V2,Video_v1,2026-07-10,25-34,Female,3009,1791.0,1.68,104,49,1.63,0.37,18.13,,,
SK_ProduktLaunch26_META,SK_ProduktLaunch26_META_Feed,Feed_v1,2026-10-27,35-44,Female,1881,1038.0,1.81,41,21,1.11,0.54,11.34,1.0,11.34,Website purchases
SK_ProduktLaunch26_META,SK_ProduktLaunch26_META_Stories,Stories_v1,2026-08-25,45-54,Male,1103,538.0,2.05,43,19,1.68,0.36,6.84,1.0,6.84,Website purchases
SK_BrandAwareness_Leto26_META,SK_BrandAwareness_Leto26_META_Video_V2,Video_v1,2026-07-14,25-34,Male,2253,1334.0,1.69,64,32,1.41,0.35,11.2,,,
SK_BrandAwareness_Leto26_META,SK_BrandAwareness_Leto26_META_Carousel,Carousel_v1,2026-06-20,18-24,Female,1857,944.0,1.97,61,30,1.62,0.63,18.9,,,
SK_BrandAwareness_Leto26_META,SK_BrandAwareness_Leto26_META_Carousel,Carousel_v1,2026-07-21,55-64,Male,1000,757.0,1.32,29,14,1.37,0.63,8.82,,,
SK_BrandAwareness_Leto26_META,SK_BrandAwareness_Leto26_META_Reels,Reels_v1,2026-06-20,18-24,Male,3573,2469.0,1.45,97,64,1.81,0.31,19.84,,,
SK_BrandAwareness_Leto26_META,SK_BrandAwareness_Leto26_META_Carousel,Carousel_v1,2026-06-01,35-44,Male,2894,1860.0,1.56,63,38,1.33,0.48,18.24,,,
SK_ProduktLaunch26_META,SK_ProduktLaunch26_META_Stories,Stories_v1,2026-09-26,25-34,Male,1412,872.0,1.62,42,21,1.51,0.35,7.35,1.0,7.35,Website purchases
SK_ProduktLaunch26_META,SK_ProduktLaunch26_META_Stories,Stories_v1,2026-10-06,18-24,Female,915,557.0,1.64,25,15,1.69,0.51,7.65,0.0,,Website purchases
SK_ProduktLaunch26_META,SK_ProduktLaunch26_META_Stories,Stories_v1,2026-08-27,55-64,Female,1040,597.0,1.74,33,19,1.86,0.33,6.27,1.0,6.27,Website purchases
SK_ProduktLaunch26_META,SK_ProduktLaunch26_META_Stories,Stories_v1,2026-09-02,35-44,Female,1166,588.0,1.98,45,21,1.76,0.41,8.61,1.0,8.61,Website purchases
SK_BrandAwareness_Leto26_META,SK_BrandAwareness_Leto26_META_Video_V2,Video_v1,2026-07-06,65+,Female,907,489.0,1.85,22,16,1.72,0.38,6.08,,,
SK_BrandAwareness_Leto26_META,SK_BrandAwareness_Leto26_META_Reels,Reels_v1,2026-07-25,18-24,Male,2085,1113.0,1.87,52,36,1.71,0.48,17.28,,,
SK_BrandAwareness_Leto26_META,SK_BrandAwareness_Leto26_META_Carousel,Carousel_v1,2026-07-22,18-24,Male,2174,1164.0,1.87,106,47,2.15,0.69,32.43,,,
SK_BrandAwareness_Leto26_META,SK_BrandAwareness_Leto26_META_Video_V2,Video_v1,2026-08-05,65+,Female,908,526.0,1.73,31,14,1.59,0.56,7.84,,,
SK_ProduktLaunch26_META,SK_ProduktLaunch26_META_Reels,Reels_v1,2026-09-17,25-34,Female,4746,2739.0,1.73,224,118,2.48,0.3,35.4,4.0,8.85,Website purchases
SK_BrandAwareness_Leto26_META,SK_BrandAwareness_Leto26_META_Carousel,Carousel_v1,2026-06-24,45-54,Male,1862,1012.0,1.84,54,28,1.48,0.61,17.08,,,
SK_ProduktLaunch26_META,SK_ProduktLaunch26_META_Stories,Stories_v1,2026-09-19,18-24,Male,1385,,,58,30,2.17,0.45,13.5,1.0,13.5,Website purchases
SK_BrandAwareness_Leto26_META,SK_BrandAwareness_Leto26_META_Reels,Reels_v1,2026-06-24,65+,Male,1056,618.0,1.71,21,12,1.16,0.33,3.96,,,
SK_BrandAwareness_Leto26_META,SK_BrandAwareness_Leto26_META_Reels,Reels_v1,2026-07-13,18-24,Male,1754,1083.0,1.62,40,22,1.26,0.48,10.56,,,
SK_BrandAwareness_Leto26_META,SK_BrandAwareness_Leto26_META_Reels,Reels_v1,2026-06-07,18-24,Male,2324,1696.0,1.37,65,40,1.73,0.4,16.0,,,
SK_BrandAwareness_Leto26_META,SK_BrandAwareness_Leto26_META_Reels,Reels_v1,2026-06-22,35-44,Male,4756,3025.0,1.57,100,44,0.93,0.41,18.04,,,
SK_ProduktLaunch26_META,SK_ProduktLaunch26_META_Stories,Stories_v1,2026-10-09,35-44,Male,1688,822.0,2.05,47,24,1.41,0.4,9.6,1.0,9.6,Website purchases
SK_BrandAwareness_Leto26_META,SK_BrandAwareness_Leto26_META_Reels,Reels_v1,2026-06-03,45-54,Male,2831,1782.0,1.59,84,53,1.88,0.53,28.09,,,
SK_BrandAwareness_Leto26_META,SK_BrandAwareness_Leto26_META_Video_V2,Video_v1,2026-07-30,35-44,Female,3235,1634.0,1.98,102,57,1.76,0.37,21.09,,,
SK_ProduktLaunch26_META,SK_ProduktLaunch26_META_Stories,Stories_v1,2026-08-30,65+,Female,926,521.0,1.78,28,13,1.42,0.36,4.68,0.0,,Website purchases
SK_BrandAwareness_Leto26_META,SK_BrandAwareness_Leto26_META_Reels,Reels_v1,2026-08-05,18-24,Female,2223,1595.0,1.39,57,34,1.51,0.5,17.0,,,
SK_BrandAwareness_Leto26_META,SK_BrandAwareness_Leto26_META_Carousel,Carousel_v1,2026-07-07,45-54,Male,1088,535.0,2.03,33,22,1.99,0.6,13.2,,,
SK_ProduktLaunch26_META,SK_ProduktLaunch26_META_Reels,Reels_v1,2026-08-18,25-34,Female,3672,1856.0,1.98,145,84,2.3,0.41,34.44,3.0,11.48,Website purchases
SK_ProduktLaunch26_META,SK_ProduktLaunch26_META_Feed,Feed_v1,2026-09-20,25-34,Female,2660,1585.0,1.68,80,51,1.91,0.55,28.05,1.0,28.05,Website purchases
SK_ProduktLaunch26_META,SK_ProduktLaunch26_META_Feed,Feed_v1,2026-10-16,25-34,Female,2883,1320.0,2.18,70,38,1.31,0.56,21.28,1.0,21.28,Website purchases
SK_BrandAwareness_Leto26_META,SK_BrandAwareness_Leto26_META_Carousel,Carousel_v1,2026-08-09,55-64,Male,1927,1297.0,1.49,65,33,1.71,0.43,14.19,,,
SK_ProduktLaunch26_META,SK_ProduktLaunch26_META_Stories,Stories_v1,2026-10-16,65+,Male,1037,564.0,1.84,40,22,2.16,0.55,12.1,1.0,12.1,Website purchases
SK_BrandAwareness_Leto26_META,SK_BrandAwareness_Leto26_META_Reels,Reels_v1,2026-07-20,35-44,Female,3946,2081.0,1.9,158,73,1.86,0.4,29.2,,,
SK_ProduktLaunch26_META,SK_ProduktLaunch26_META_Feed,Feed_v1,2026-10-06,45-54,Female,2163,1178.0,1.84,46,27,1.27,0.49,13.23,1.0,13.23,Website purchases
SK_BrandAwareness_Leto26_META,SK_BrandAwareness_Leto26_META_Carousel,Carousel_v1,2026-06-25,55-64,Male,1918,987.0,1.94,35,21,1.09,0.58,12.18,,,
SK_ProduktLaunch26_META,SK_ProduktLaunch26_META_Feed,Feed_v1,2026-10-02,25-34,Female,3017,1804.0,1.67,114,56,1.84,0.51,28.56,1.0,28.56,Website purchases
SK_ProduktLaunch26_META,SK_ProduktLaunch26_META_Feed,Feed_v1,2026-08-27,18-24,Male,1385,679.0,2.04,34,15,1.08,0.53,7.95,0.0,,Website purchases
SK_BrandAwareness_Leto26_META,SK_BrandAwareness_Leto26_META_Video_V2,Video_v1,2026-07-08,35-44,Male,2602,1353.0,1.92,60,34,1.3,0.54,18.36,,,
SK_BrandAwareness_Leto26_META,SK_BrandAwareness_Leto26_META_Carousel,Carousel_v1,2026-07-13,25-34,Female,2263,1449.0,1.56,65,35,1.53,0.55,19.25,,,
SK_ProduktLaunch26_META,SK_ProduktLaunch26_META_Stories,Stories_v1,2026-09-03,55-64,Female,1359,830.0,1.64,44,23,1.66,0.57,13.11,1.0,13.11,Website purchases
SK_ProduktLaunch26_META,SK_ProduktLaunch26_META_Feed,Feed_v1,2026-10-19,35-44,Male,1613,797.0,2.02,36,23,1.41,0.58,13.34,1.0,13.34,Website purchases
SK_BrandAwareness_Leto26_META,SK_BrandAwareness_Leto26_META_Reels,Reels_v1,2026-08-04,25-34,Female,2404,1700.0,1.41,45,25,1.03,0.34,8.5,,,
SK_BrandAwareness_Leto26_META,SK_BrandAwareness_Leto26_META_Video,Video_v1,2026-06-21,45-54,Female,2513,1342.0,1.87,59,30,1.2,0.36,10.8,,,
SK_BrandAwareness_Leto26_META,SK_BrandAwareness_Leto26_META_Video,Video_v1,2026-06-20,45-54,Female,1717,951.0,1.81,55,26,1.53,0.53,13.78,,,
SK_BrandAwareness_Leto26_META,SK_BrandAwareness_Leto26_META_Reels,Reels_v1,2026-07-25,45-54,Female,1695,1006.0,1.68,49,25,1.46,0.52,13.0,,,
SK_ProduktLaunch26_META,SK_ProduktLaunch26_META_Reels,Reels_v1,2026-09-11,55-64,Female,2405,1205.0,2.0,113,60,2.49,0.49,29.4,2.0,14.7,Website purchases
SK_ProduktLaunch26_META,SK_ProduktLaunch26_META_Reels,Reels_v1,2026-10-20,35-44,Female,2971,1513.0,1.96,106,64,2.15,0.45,28.8,2.0,14.4,Website purchases
SK_ProduktLaunch26_META,SK_ProduktLaunch26_META_Reels,Reels_v1,2026-09-18,25-34,Male,4586,2342.0,1.96,173,86,1.87,0.45,38.7,3.0,12.9,Website purchases
SK_ProduktLaunch26_META,SK_ProduktLaunch26_META_Stories,Stories_v1,2026-09-30,55-64,Male,1753,1040.0,1.69,62,32,1.81,0.49,15.68,1.0,15.68,Website purchases
SK_BrandAwareness_Leto26_META,SK_BrandAwareness_Leto26_META_Reels,Reels_v1,2026-06-02,35-44,Male,3587,2058.0,1.74,60,37,1.04,0.49,18.13,,,
SK_BrandAwareness_Leto26_META,SK_BrandAwareness_Leto26_META_Carousel,Carousel_v1,2026-06-27,18-24,Male,2147,1363.0,1.58,69,33,1.53,0.52,17.16,,,
SK_ProduktLaunch26_META,SK_ProduktLaunch26_META_Feed,Feed_v1,2026-09-11,65+,Female,1052,652.0,1.61,45,20,1.88,0.44,8.8,0.0,,Website purchases
SK_BrandAwareness_Leto26_META,SK_BrandAwareness_Leto26_META_Video_V2,Video_v1,2026-07-30,25-34,Male,3027,1418.0,2.13,106,53,1.74,0.56,29.68,,,
SK_BrandAwareness_Leto26_META,SK_BrandAwareness_Leto26_META_Carousel,Carousel_v1,2026-08-04,55-64,Male,1106,508.0,2.18,51,23,2.11,0.42,9.66,,,
SK_BrandAwareness_Leto26_META,SK_BrandAwareness_Leto26_META_Reels,Reels_v1,2026-06-15,55-64,Male,2390,1782.0,1.34,53,26,1.09,0.49,12.74,,,
SK_ProduktLaunch26_META,SK_ProduktLaunch26_META_Feed,Feed_v1,2026-09-23,65+,Female,862,450.0,1.92,28,14,1.62,0.35,4.9,0.0,,Website purchases
