Advertiser,Campaign,Insertion Order,Line Item,Date,Device Type,Region,Impressions,Clicks,Click Rate,Total Media Cost (Advertiser Currency),Total Conversions,Active View Viewable Impressions
Energy_Client_SK,ProduktLaunch26_Programmatic,IO_ProduktLaunch26_Display,LI_Display_Retarget,20261017,Mobile,Bratislavský kraj,13893,92,0.66%,44.11,0.0,10088
Energy_Client_SK,ProduktLaunch26_Programmatic,IO_ProduktLaunch26_Display,LI_Display_Prospecting,20260825,Tablet,Bratislavský kraj,6148,21,0.34%,13.9,,4066
Energy_Client_SK,ProduktLaunch26_Programmatic,IO_ProduktLaunch26_Display,LI_Native_Prospecting,20261026,Mobile,Bratislavský kraj,10789,74,0.68%,27.19,0.0,8199
Energy_Client_SK,ProduktLaunch26_Programmatic,IO_ProduktLaunch26_Video,LI_Video_Retarget,20260926,Tablet,Bratislavský kraj,6249,34,0.54%,29.99,,3586
Energy_Client_SK,ProduktLaunch26_Programmatic,IO_ProduktLaunch26_Display,LI_Display_Retarget,20261009,Desktop,Košický kraj,10078,70,0.7%,25.71,,6232
Energy_Client_SK,ProduktLaunch26_Programmatic,IO_ProduktLaunch26_Display,LI_Display_Retarget,20261003,Desktop,Bratislavský kraj,16419,112,0.68%,35.0,0.0,9254
Energy_Client_SK,ProduktLaunch26_Programmatic,IO_ProduktLaunch26_Display,LI_Display_Retarget,20261010,Desktop,Bratislavský kraj,18574,91,0.49%,46.72,,14066
Energy_Client_SK,ProduktLaunch26_Programmatic,IO_ProduktLaunch26_Video,LI_Video_Retarget,20260826,Mobile,Bratislavský kraj,16690,87,0.52%,77.15,,10094
Energy_Client_SK,ProduktLaunch26_Programmatic,IO_ProduktLaunch26_Video,LI_Video_Retarget,20260924,Tablet,Bratislavský kraj,7646,39,0.52%,39.16,0.0,4847
Energy_Client_SK,ProduktLaunch26_Programmatic,IO_ProduktLaunch26_Display,LI_Display_Retarget,20260903,Mobile,Ostatné SR,8858,36,0.41%,22.48,,5725
Energy_Client_SK,ProduktLaunch26_Programmatic,IO_ProduktLaunch26_Video,LI_Video_Retarget,20261025,Desktop,Košický kraj,12794,106,0.83%,66.39,0.0,8900
Energy_Client_SK,ProduktLaunch26_Programmatic,IO_ProduktLaunch26_Video,LI_Audio_Awareness,20261014,Mobile,Košický kraj,7246,24,0.32%,18.47,0.0,4896
Energy_Client_SK,ProduktLaunch26_Programmatic,IO_ProduktLaunch26_Video,LI_Audio_Awareness,20260824,Connected TV,Ostatné SR,8115,32,0.39%,17.54,,5930
Energy_Client_SK,ProduktLaunch26_Programmatic,IO_ProduktLaunch26_Video,LI_Video_Retarget,20260824,Tablet,Košický kraj,3461,31,0.89%,14.05,,2463
Energy_Client_SK,ProduktLaunch26_Programmatic,IO_ProduktLaunch26_Video,LI_Audio_Awareness,20260925,Mobile,Ostatné SR,11636,25,0.22%,19.92,,6663
Energy_Client_SK,ProduktLaunch26_Programmatic,IO_ProduktLaunch26_Video,LI_Video_Prospecting,20260910,Tablet,Košický kraj,3680,26,0.72%,16.4,,2865
Energy_Client_SK,ProduktLaunch26_Programmatic,IO_ProduktLaunch26_Display,LI_Display_Retarget,20260904,Tablet,Ostatné SR,6318,26,0.41%,16.37,,3686
Energy_Client_SK,ProduktLaunch26_Programmatic,IO_ProduktLaunch26_Video,LI_Video_Retarget,20260820,Tablet,Ostatné SR,8248,51,0.62%,41.55,0.0,5785
Energy_Client_SK,ProduktLaunch26_Programmatic,IO_ProduktLaunch26_Display,LI_Display_Retarget,20260919,Tablet,Bratislavský kraj,5408,29,0.54%,14.53,,3629
Energy_Client_SK,ProduktLaunch26_Programmatic,IO_ProduktLaunch26_Display,LI_Display_Retarget,20260826,Tablet,Ostatné SR,2971,13,0.44%,7.7,0.0,2092
Energy_Client_SK,ProduktLaunch26_Programmatic,IO_ProduktLaunch26_Video,LI_Video_Retarget,20261011,Desktop,Bratislavský kraj,20498,223,1.09%,97.94,,15680
Energy_Client_SK,ProduktLaunch26_Programmatic,IO_ProduktLaunch26_Video,LI_Video_Prospecting,20260922,Mobile,Bratislavský kraj,17348,71,0.41%,76.52,,10191
Energy_Client_SK,ProduktLaunch26_Programmatic,IO_ProduktLaunch26_Video,LI_Video_Retarget,20260907,Desktop,Bratislavský kraj,13420,83,0.62%,69.37,0.0,8794
Energy_Client_SK,ProduktLaunch26_Programmatic,IO_ProduktLaunch26_Display,LI_Display_Prospecting,20260821,Desktop,Bratislavský kraj,20669,68,0.33%,52.65,,12606
Energy_Client_SK,ProduktLaunch26_Programmatic,IO_ProduktLaunch26_Display,LI_Native_Prospecting,20261001,Desktop,Bratislavský kraj,8492,54,0.64%,27.69,,6494
Energy_Client_SK,ProduktLaunch26_Programmatic,IO_ProduktLaunch26_Video,LI_Video_Prospecting,20261013,Mobile,Košický kraj,8352,72,0.86%,37.11,0.0,6380
Energy_Client_SK,ProduktLaunch26_Programmatic,IO_ProduktLaunch26_Video,LI_Audio_Awareness,20261020,Mobile,Košický kraj,11386,41,0.36%,22.07,,8526
Energy_Client_SK,ProduktLaunch26_Programmatic,IO_ProduktLaunch26_Video,LI_Audio_Awareness,20261023,Connected TV,Ostatné SR,5187,21,0.41%,9.5,,4146
Energy_Client_SK,ProduktLaunch26_Programmatic,IO_ProduktLaunch26_Display,LI_Display_Prospecting,20260929,Tablet,Košický kraj,3862,19,0.5%,7.54,0.0,2370
Energy_Client_SK,ProduktLaunch26_Programmatic,IO_ProduktLaunch26_Display,LI_Display_Retarget,20261020,Tablet,Košický kraj,3400,14,0.41%,11.15,,2241
Energy_Client_SK,ProduktLaunch26_Programmatic,IO_ProduktLaunch26_Display,LI_Display_Retarget,20260921,Tablet,Ostatné SR,3803,22,0.57%,10.11,,2927
Energy_Client_SK,ProduktLaunch26_Programmatic,IO_ProduktLaunch26_Display,LI_Display_Retarget,20260817,Desktop,Ostatné SR,7370,47,0.64%,24.96,,4455
Energy_Client_SK,ProduktLaunch26_Programmatic,IO_ProduktLaunch26_Display,LI_Native_Prospecting,20261001,Connected TV,Bratislavský kraj,8029,55,0.68%,18.04,0.0,5469
Energy_Client_SK,ProduktLaunch26_Programmatic,IO_ProduktLaunch26_Display,LI_Display_Retarget,20261005,Mobile,Bratislavský kraj,16839,82,0.48%,47.18,,12743
Energy_Client_SK,ProduktLaunch26_Programmatic,IO_ProduktLaunch26_Video,LI_Video_Retarget,20260918,Tablet,Bratislavský kraj,7489,63,0.85%,27.76,,4376
Energy_Client_SK,ProduktLaunch26_Programmatic,IO_ProduktLaunch26_Display,LI_Display_Prospecting,20261017,Connected TV,Bratislavský kraj,8437,31,0.37%,15.92,0.0,5043
Energy_Client_SK,ProduktLaunch26_Programmatic,IO_ProduktLaunch26_Display,LI_Native_Prospecting,20261019,Mobile,Ostatné SR,11750,60,0.51%,28.62,,6694
Energy_Client_SK,ProduktLaunch26_Programmatic,IO_ProduktLaunch26_Display,LI_Display_Retarget,20260827,Mobile,Bratislavský kraj,12618,65,0.51%,32.06,,7382
Energy_Client_SK,ProduktLaunch26_Programmatic,IO_ProduktLaunch26_Display,LI_Native_Prospecting,20260831,Tablet,Košický kraj,3614,24,0.67%,9.98,,2386
Energy_Client_SK,ProduktLaunch26_Programmatic,IO_ProduktLaunch26_Video,LI_Audio_Awareness,20261024,Tablet,Ostatné SR,5668,17,0.29%,12.49,,4012
Energy_Client_SK,ProduktLaunch26_Programmatic,IO_ProduktLaunch26_Video,LI_Video_Prospecting,20261001,Mobile,Ostatné SR,11653,98,0.84%,40.48,,8969
Energy_Client_SK,ProduktLaunch26_Programmatic,IO_ProduktLaunch26_Display,LI_Display_Retarget,20261014,Tablet,Ostatné SR,3539,18,0.52%,10.8,0.0,2382
Energy_Client_SK,ProduktLaunch26_Programmatic,IO_ProduktLaunch26_Video,LI_Audio_Awareness,20260818,Mobile,Košický kraj,9113,33,0.36%,14.28,,6075
Energy_Client_SK,ProduktLaunch26_Programmatic,IO_ProduktLaunch26_Display,LI_Display_Retarget,20261018,Tablet,Ostatné SR,3517,14,0.39%,9.09,,1993
Energy_Client_SK,ProduktLaunch26_Programmatic,IO_ProduktLaunch26_Video,LI_Video_Prospecting,20261010,Tablet,Ostatné SR,8731,52,0.6%,27.51,0.0,5884
Energy_Client_SK,ProduktLaunch26_Programmatic,IO_ProduktLaunch26_Display,LI_Display_Retarget,20260909,Tablet,Bratislavský kraj,6158,29,0.47%,17.36,,4172
Energy_Client_SK,ProduktLaunch26_Programmatic,IO_ProduktLaunch26_Video,LI_Video_Prospecting,20261005,Connected TV,Ostatné SR,12177,60,0.49%,45.79,,7473
Energy_Client_SK,ProduktLaunch26_Programmatic,IO_ProduktLaunch26_Video,LI_Audio_Awareness,20260917,Desktop,Košický kraj,7547,31,0.41%,17.48,0.0,4762
Energy_Client_SK,ProduktLaunch26_Programmatic,IO_ProduktLaunch26_Video,LI_Video_Prospecting,20261007,Desktop,Košický kraj,9684,40,0.42%,34.53,0.0,6493
Energy_Client_SK,ProduktLaunch26_Programmatic,IO_ProduktLaunch26_Display,LI_Display_Prospecting,20261008,Mobile,Bratislavský kraj,18801,49,0.26%,41.38,,11257
Energy_Client_SK,ProduktLaunch26_Programmatic,IO_ProduktLaunch26_Video,LI_Audio_Awareness,20260819,Desktop,Košický kraj,8042,38,0.47%,14.87,,5580
Energy_Client_SK,ProduktLaunch26_Programmatic,IO_ProduktLaunch26_Display,LI_Display_Prospecting,20261014,Mobile,Bratislavský kraj,19406,90,0.47%,48.4,,13178
Energy_Client_SK,ProduktLaunch26_Programmatic,IO_ProduktLaunch26_Video,LI_Video_Retarget,20260826,Connected TV,Košický kraj,7994,64,0.79%,40.63,0.0,5972
Energy_Client_SK,ProduktLaunch26_Programmatic,IO_ProduktLaunch26_Video,LI_Video_Retarget,20261003,Desktop,Košický kraj,9725,99,1.02%,41.47,,5790
Energy_Client_SK,ProduktLaunch26_Programmatic,IO_ProduktLaunch26_Display,LI_Display_Retarget,20260823,Mobile,Košický kraj,5706,35,0.61%,15.78,0.0,4414
Energy_Client_SK,ProduktLaunch26_Programmatic,IO_ProduktLaunch26_Video,LI_Video_Prospecting,20260910,Tablet,Ostatné SR,7572,39,0.51%,27.52,,4923
Energy_Client_SK,ProduktLaunch26_Programmatic,IO_ProduktLaunch26_Display,LI_Display_Retarget,20261009,Mobile,Košický kraj,8934,54,0.6%,17.97,,5390
Energy_Client_SK,ProduktLaunch26_Programmatic,IO_ProduktLaunch26_Video,LI_Audio_Awareness,20260907,Tablet,Košický kraj,3476,14,0.39%,5.34,,1926
Energy_Client_SK,ProduktLaunch26_Programmatic,IO_ProduktLaunch26_Display,LI_Native_Prospecting,20261026,Mobile,Košický kraj,5875,40,0.68%,20.43,,3748
Energy_Client_SK,ProduktLaunch26_Programmatic,IO_ProduktLaunch26_Video,LI_Audio_Awareness,20260920,Desktop,Bratislavský kraj,16851,43,0.25%,30.58,,10348
Energy_Client_SK,ProduktLaunch26_Programmatic,IO_ProduktLaunch26_Display,LI_Display_Retarget,20260908,Connected TV,Bratislavský kraj,9705,35,0.36%,22.06,,6999
Energy_Client_SK,ProduktLaunch26_Programmatic,IO_ProduktLaunch26_Video,LI_Video_Retarget,20261023,Connected TV,Ostatné SR,8236,54,0.66%,34.05,,6011
Energy_Client_SK,ProduktLaunch26_Programmatic,IO_ProduktLaunch26_Video,LI_Video_Prospecting,20261020,Connected TV,Bratislavský kraj,14766,127,0.86%,49.22,,9857
Energy_Client_SK,ProduktLaunch26_Programmatic,IO_ProduktLaunch26_Display,LI_Display_Retarget,20260823,Mobile,Ostatné SR,9147,51,0.56%,19.27,,5451
Energy_Client_SK,ProduktLaunch26_Programmatic,IO_ProduktLaunch26_Video,LI_Audio_Awareness,20261020,Desktop,Bratislavský kraj,9027,37,0.41%,18.14,,6955
Energy_Client_SK,ProduktLaunch26_Programmatic,IO_ProduktLaunch26_Display,LI_Display_Prospecting,20260919,Desktop,Ostatné SR,12132,37,0.31%,22.61,0.0,7555
Energy_Client_SK,ProduktLaunch26_Programmatic,IO_ProduktLaunch26_Video,LI_Audio_Awareness,20261006,Desktop,Ostatné SR,12173,30,0.25%,21.08,,7478
Energy_Client_SK,ProduktLaunch26_Programmatic,IO_ProduktLaunch26_Video,LI_Video_Retarget,20261013,Tablet,Bratislavský kraj,6715,69,1.02%,34.84,0.0,3993
Energy_Client_SK,ProduktLaunch26_Programmatic,IO_ProduktLaunch26_Video,LI_Audio_Awareness,20260924,Connected TV,Košický kraj,3512,9,0.25%,5.5,,2302
Energy_Client_SK,ProduktLaunch26_Programmatic,IO_ProduktLaunch26_Video,LI_Audio_Awareness,20261006,Desktop,Bratislavský kraj,10823,35,0.32%,19.32,,5972
Energy_Client_SK,ProduktLaunch26_Programmatic,IO_ProduktLaunch26_Display,LI_Display_Retarget,20260826,Connected TV,Bratislavský kraj,8743,41,0.47%,29.11,,6563
Energy_Client_SK,ProduktLaunch26_Programmatic,IO_ProduktLaunch26_Display,LI_Native_Prospecting,20260915,Desktop,Bratislavský kraj,14921,114,0.77%,37.92,,11919
Energy_Client_SK,ProduktLaunch26_Programmatic,IO_ProduktLaunch26_Display,LI_Native_Prospecting,20261019,Desktop,Košický kraj,9657,57,0.59%,21.57,,5999
Energy_Client_SK,ProduktLaunch26_Programmatic,IO_ProduktLaunch26_Display,LI_Native_Prospecting,20260920,Tablet,Bratislavský kraj,3763,25,0.65%,9.25,,2292
Energy_Client_SK,ProduktLaunch26_Programmatic,IO_ProduktLaunch26_Video,LI_Video_Retarget,20260917,Mobile,Košický kraj,14410,82,0.57%,75.51,0.0,10286
Energy_Client_SK,ProduktLaunch26_Programmatic,IO_ProduktLaunch26_Video,LI_Video_Retarget,20260901,Desktop,Ostatné SR,16012,125,0.78%,62.41,,12391
Energy_Client_SK,ProduktLaunch26_Programmatic,IO_ProduktLaunch26_Video,LI_Video_Retarget,20261016,Mobile,Ostatné SR,15517,99,0.64%,59.83,0.0,11489
Energy_Client_SK,ProduktLaunch26_Programmatic,IO_ProduktLaunch26_Display,LI_Display_Retarget,20260906,Connected TV,Ostatné SR,7397,49,0.66%,22.58,0.0,5864
Energy_Client_SK,ProduktLaunch26_Programmatic,IO_ProduktLaunch26_Video,LI_Video_Prospecting,20260918,Connected TV,Ostatné SR,11235,64,0.57%,48.8,,7047
Energy_Client_SK,ProduktLaunch26_Programmatic,IO_ProduktLaunch26_Display,LI_Native_Prospecting,20260818,Mobile,Bratislavský kraj,11919,80,0.67%,33.91,0.0,8418
Energy_Client_SK,ProduktLaunch26_Programmatic,IO_ProduktLaunch26_Video,LI_Video_Retarget,20260902,Connected TV,Bratislavský kraj,11017,120,1.09%,40.99,,6175
Energy_Client_SK,ProduktLaunch26_Programmatic,IO_ProduktLaunch26_Video,LI_Video_Retarget,20261021,Tablet,Bratislavský kraj,9842,54,0.54%,43.77,,6950
Energy_Client_SK,ProduktLaunch26_Programmatic,IO_ProduktLaunch26_Video,LI_Video_Prospecting,20260904,Desktop,Ostatné SR,17648,87,0.49%,60.79,0.0,10941
Energy_Client_SK,ProduktLaunch26_Programmatic,IO_ProduktLaunch26_Display,LI_Display_Prospecting,20260818,Desktop,Košický kraj,10080,47,0.46%,31.96,0.0,6486
Energy_Client_SK,ProduktLaunch26_Programmatic,IO_ProduktLaunch26_Display,LI_Display_Prospecting,20261023,Desktop,Košický kraj,6323,19,0.31%,16.89,,4817
Energy_Client_SK,ProduktLaunch26_Programmatic,IO_ProduktLaunch26_Display,LI_Display_Retarget,20260917,Tablet,Košický kraj,3478,20,0.56%,10.69,,2572
Energy_Client_SK,ProduktLaunch26_Programmatic,IO_ProduktLaunch26_Video,LI_Video_Retarget,20260908,Desktop,Košický kraj,12472,83,0.67%,53.69,,7505
Energy_Client_SK,ProduktLaunch26_Programmatic,IO_ProduktLaunch26_Video,LI_Audio_Awareness,20260821,Desktop,Košický kraj,9743,48,0.5%,24.48,0.0,6292
Energy_Client_SK,ProduktLaunch26_Programmatic,IO_ProduktLaunch26_Video,LI_Video_Prospecting,20260909,Mobile,Ostatné SR,11485,77,0.67%,48.95,0.0,7933
Energy_Client_SK,ProduktLaunch26_Programmatic,IO_ProduktLaunch26_Display,LI_Display_Retarget,20260927,Mobile,Košický kraj,10137,35,0.34%,35.04,,6783
Energy_Client_SK,ProduktLaunch26_Programmatic,IO_ProduktLaunch26_Display,LI_Native_Prospecting,20260815,Connected TV,Košický kraj,4591,34,0.73%,12.61,,2898
Energy_Client_SK,ProduktLaunch26_Programmatic,IO_ProduktLaunch26_Video,LI_Video_Prospecting,20261014,Connected TV,Ostatné SR,8044,60,0.74%,34.59,,5879
Energy_Client_SK,ProduktLaunch26_Programmatic,IO_ProduktLaunch26_Display,LI_Display_Retarget,20260907,Desktop,Bratislavský kraj,17456,108,0.62%,38.98,,11552
Energy_Client_SK,ProduktLaunch26_Programmatic,IO_ProduktLaunch26_Display,LI_Display_Retarget,20260831,Connected TV,Bratislavský kraj,9224,56,0.6%,26.64,,6708
Energy_Client_SK,ProduktLaunch26_Programmatic,IO_ProduktLaunch26_Display,LI_Display_Retarget,20260919,Connected TV,Košický kraj,3412,22,0.63%,9.1,0.0,1942
Energy_Client_SK,ProduktLaunch26_Programmatic,IO_ProduktLaunch26_Video,LI_Video_Prospecting,20260828,Mobile,Bratislavský kraj,18994,93,0.49%,91.11,0.0,14524
Energy_Client_SK,ProduktLaunch26_Programmatic,IO_ProduktLaunch26_Display,LI_Display_Retarget,20260909,Connected TV,Košický kraj,5478,19,0.34%,14.24,,3031
Energy_Client_SK,ProduktLaunch26_Programmatic,IO_ProduktLaunch26_Display,LI_Native_Prospecting,20260917,Tablet,Košický kraj,4737,25,0.53%,11.27,,3420
Energy_Client_SK,ProduktLaunch26_Programmatic,IO_ProduktLaunch26_Video,LI_Video_Retarget,20261005,Connected TV,Košický kraj,5065,45,0.88%,17.59,0.0,3534
Energy_Client_SK,ProduktLaunch26_Programmatic,IO_ProduktLaunch26_Video,LI_Audio_Awareness,20260902,Connected TV,Bratislavský kraj,8144,17,0.2%,17.81,,6103
Energy_Client_SK,ProduktLaunch26_Programmatic,IO_ProduktLaunch26_Video,LI_Video_Prospecting,20260903,Tablet,Bratislavský kraj,10803,78,0.72%,39.69,,6326
Energy_Client_SK,ProduktLaunch26_Programmatic,IO_ProduktLaunch26_Video,LI_Video_Retarget,20260928,Connected TV,Ostatné SR,9702,89,0.91%,46.3,,6894
Energy_Client_SK,ProduktLaunch26_Programmatic,IO_ProduktLaunch26_Video,LI_Video_Prospecting,20260928,Mobile,Bratislavský kraj,13683,82,0.6%,57.99,,9217
Energy_Client_SK,ProduktLaunch26_Programmatic,IO_ProduktLaunch26_Video,LI_Video_Prospecting,20260905,Connected TV,Košický kraj,9285,54,0.58%,28.9,0.0,7102
Energy_Client_SK,ProduktLaunch26_Programmatic,IO_ProduktLaunch26_Display,LI_Display_Prospecting,20260829,Mobile,Bratislavský kraj,20582,62,0.3%,65.38,,15260
Energy_Client_SK,ProduktLaunch26_Programmatic,IO_ProduktLaunch26_Display,LI_Native_Prospecting,20261007,Mobile,Bratislavský kraj,9844,74,0.75%,32.12,,6023
Energy_Client_SK,ProduktLaunch26_Programmatic,IO_ProduktLaunch26_Display,LI_Native_Prospecting,20261005,Mobile,Košický kraj,9767,76,0.78%,35.34,0.0,6961
Energy_Client_SK,ProduktLaunch26_Programmatic,IO_ProduktLaunch26_Display,LI_Display_Prospecting,20260913,Desktop,Košický kraj,7236,42,0.58%,21.47,,4951
Energy_Client_SK,ProduktLaunch26_Programmatic,IO_ProduktLaunch26_Display,LI_Display_Retarget,20260821,Desktop,Bratislavský kraj,18889,64,0.34%,62.68,,11308
Energy_Client_SK,ProduktLaunch26_Programmatic,IO_ProduktLaunch26_Video,LI_Video_Prospecting,20260912,Connected TV,Ostatné SR,5760,46,0.8%,17.38,0.0,3894
Energy_Client_SK,ProduktLaunch26_Programmatic,IO_ProduktLaunch26_Video,LI_Audio_Awareness,20260911,Tablet,Košický kraj,2201,11,0.48%,5.39,,1376
Energy_Client_SK,ProduktLaunch26_Programmatic,IO_ProduktLaunch26_Video,LI_Audio_Awareness,20261019,Desktop,Bratislavský kraj,15380,41,0.27%,33.58,,11932
Energy_Client_SK,ProduktLaunch26_Programmatic,IO_ProduktLaunch26_Video,LI_Video_Prospecting,20260818,Mobile,Ostatné SR,18775,109,0.58%,74.76,,12200
Energy_Client_SK,ProduktLaunch26_Programmatic,IO_ProduktLaunch26_Video,LI_Audio_Awareness,20260925,Tablet,Ostatné SR,5709,21,0.36%,13.66,,3312
Energy_Client_SK,ProduktLaunch26_Programmatic,IO_ProduktLaunch26_Display,LI_Display_Prospecting,20260826,Connected TV,Bratislavský kraj,6694,19,0.29%,16.05,0.0,4663
Energy_Client_SK,ProduktLaunch26_Programmatic,IO_ProduktLaunch26_Display,LI_Native_Prospecting,20261007,Connected TV,Bratislavský kraj,9735,67,0.69%,36.37,0.0,7314
Energy_Client_SK,ProduktLaunch26_Programmatic,IO_ProduktLaunch26_Display,LI_Display_Retarget,20260829,Connected TV,Bratislavský kraj,10074,37,0.37%,35.03,0.0,5870
Energy_Client_SK,ProduktLaunch26_Programmatic,IO_ProduktLaunch26_Display,LI_Display_Retarget,20261020,Connected TV,Bratislavský kraj,5978,36,0.6%,16.98,,4533
Energy_Client_SK,ProduktLaunch26_Programmatic,IO_ProduktLaunch26_Display,LI_Native_Prospecting,20260825,Mobile,Ostatné SR,9255,46,0.5%,26.02,0.0,5630
Energy_Client_SK,ProduktLaunch26_Programmatic,IO_ProduktLaunch26_Display,LI_Display_Prospecting,20260816,Desktop,Ostatné SR,8611,30,0.35%,17.8,,6108
Energy_Client_SK,ProduktLaunch26_Programmatic,IO_ProduktLaunch26_Display,LI_Display_Prospecting,20261028,Connected TV,Ostatné SR,9086,35,0.39%,25.3,,5892
